record_id,waveform_file,log_A,valid_len,station_code,origin_time,record_time,mag,eq_lat,eq_lon,depth_km,sta_lat,sta_lon,sta_height_m,epi_dist_km,hypo_dist_km,sampling_hz,original_hz,n_samples,duration_s,pga_ud2_gal,pga_ns1_gal,pga_ew1_gal,scale_ud2,scale_ns1,scale_ew1,npz_path,p_time_s,p_sample,snr_db,cluster,vs30,f0hv,af,prob_cluster0,prob_cluster1,prob_cluster2,max_prob,is_boundary,split
train_0000,record_0000.npz,-1.3284426815500852,600,KMMH09,2009/04/05 18:36:00,2009/04/05 18:36:45,5.6,31.928,131.893,28,32.4901,130.9046,520.0,112.044,115.49,100,100,12000,120.0,18.495297,47.363376,43.081265,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\KMMH090904051836.npz,15.03,1503.0,23.78,1,400.0,2.528,0.9994,0.0288493591736579,0.8698579231364557,0.1012927176898863,0.8698579231364557,False,train
train_0001,record_0001.npz,-1.6437310025336025,600,OITH06,2008/03/10 10:44:00,2008/03/10 10:44:52,5.1,31.763,131.918,29,32.9726,131.3984,260.0,143.08,145.989,100,100,12000,120.0,5.681674,23.678591,100.626507,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\OITH060803101044.npz,15.39,1539.0,8.76,0,712.0,1.1705,0.9882,0.9793398114371514,0.0206599233754764,2.6518737255783706e-07,0.9793398114371514,False,train
train_0002,record_0002.npz,-0.2667432295084388,600,ISKH08,2007/07/16 10:13:00,2007/07/16 10:13:54,6.8,37.557,138.608,17,36.738,136.7906,119.0,185.035,185.814,100,200,18200,182.0,5.622864,9.608984,6.340265,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\ISKH080707161013.npz,11.4,1140.0,10.06,1,427.0,3.1187,0.6689,0.0299192272509968,0.909978452878626,0.0601023198703773,0.909978452878626,False,train
train_0003,record_0003.npz,-1.9763343908176727,600,AICH07,2008/06/13 11:21:00,2008/06/13 11:21:37,4.7,35.91,137.703,13,35.2194,137.4039,621.43,81.417,82.448,100,100,12000,120.0,28.782532,13.460037,27.939737,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\AICH070806131121.npz,24.58,2458.0,10.81,1,428.0,8.8235,0.6689,0.1955693863351144,0.8044306047057072,8.959178700084894e-09,0.8044306047057072,False,train
train_0004,record_0004.npz,-1.8593303610024463,600,WKYH06,2002/02/04 06:02:00,2002/02/04 06:02:03,4.4,33.601,135.244,38,33.6948,135.5953,218.0,34.15,51.09,100,200,12000,120.0,13.852596,8.257627,7.278919,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\WKYH060202040602.npz,14.18,1418.0,13.66,0,752.0,9.8494,0.6689,0.9806677562171504,0.0193322437828269,2.2804656274650667e-14,0.9806677562171504,False,train
train_0005,record_0005.npz,-1.716541430628118,600,YMGH17,2002/10/13 19:06:00,2002/10/13 19:06:45,4.7,33.348,132.355,43,33.9291,132.4046,5.0,64.778,77.751,100,200,12000,120.0,18.527985,18.813848,4.864693,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\YMGH170210131906.npz,13.89,1389.0,15.72,2,225.0,1.9298,1.749,0.0006824097648926,0.0010311424508253,0.998286447784282,0.998286447784282,False,train
train_0006,record_0006.npz,-0.6724250766849251,600,NIGH09,2004/10/23 19:46:00,2004/10/23 19:46:04,5.7,37.295,138.875,12,37.5386,139.1279,93.0,35.108,37.102,100,200,30000,300.0,40.597439,12.254,9.658098,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\NIGH090410231946.npz,14.54,1454.0,18.73,1,463.0,6.4072,1.0671,0.1577539511099516,0.8421638389057362,8.22099843119669e-05,0.8421638389057362,False,train
train_0007,record_0007.npz,-2.1464681389400413,600,OITH07,2007/11/29 20:17:00,2007/11/29 20:18:00,4.3,32.722,131.932,47,32.987,131.5881,160.0,43.591,64.103,100,200,12000,120.0,14.076948,15.494823,3.078938,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\OITH070711292017.npz,14.39,1439.0,38.86,1,276.0,2.0905,0.9882,0.0158238465870234,0.6142907135410773,0.369885439871899,0.6142907135410773,True,train
train_0008,record_0008.npz,-2.496516604750192,600,HRSH14,2011/01/16 20:33:00,2011/01/16 20:33:39,4.5,34.008,133.775,44,34.209,132.4063,40.0,127.978,135.331,100,100,12000,120.0,6.771127,33.684636,8.71193,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\HRSH141101162033.npz,20.72,2072.0,11.71,1,550.0,4.2098,0.9994,0.2262194789689325,0.7725585568509163,0.0012219641801512,0.7725585568509163,False,train
train_0009,record_0009.npz,-1.9353049867678744,600,HRSH01,2009/07/18 05:16:00,2009/07/18 05:17:23,4.3,33.487,131.905,70,34.3736,133.0236,35.0,142.721,158.963,100,100,12000,120.0,11.568534,20.970288,17.471984,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\HRSH010907180516.npz,15.76,1576.0,13.32,1,403.0,7.9838,0.5689,0.1349753804078098,0.8650240320145001,5.875776902088926e-07,0.8650240320145001,False,train
train_0010,record_0010.npz,-2.768612394145213,600,KGSH12,2009/03/19 19:40:00,2009/03/19 19:40:46,4.3,31.85,129.392,11,31.2583,131.0877,265.0,173.621,173.969,100,100,12000,120.0,17.619288,49.709556,69.422417,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\KGSH120903191940.npz,3.94,394.0,16.25,1,452.0,2.4047,0.6689,0.0353867657799085,0.9044922016035448,0.0601210326165465,0.9044922016035448,False,train
train_0011,record_0011.npz,-2.031141419349077,600,KNGH19,2009/08/13 18:11:00,2009/08/13 18:11:12,4.5,34.84,138.408,23,35.4173,139.0436,330.0,86.382,89.392,100,100,12000,120.0,21.132855,7.287736,16.2846,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\KNGH190908131811.npz,22.81,2281.0,8.72,0,731.0,8.1452,0.6689,0.94692458065279,0.0530754192557102,9.149955187741948e-11,0.94692458065279,False,train
train_0012,record_0012.npz,-3.2247317942075524,600,SBSH08,2010/01/07 05:39:00,2010/01/07 05:40:11,4.1,41.955,142.328,69,42.768,140.9766,285.0,143.179,158.938,100,100,12000,120.0,4.926997,34.520379,12.299812,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\SBSH081001070539.npz,5.22,522.0,30.48,1,325.0,1.661,1.01,0.0152675062938976,0.6833440602338225,0.3013884334722799,0.6833440602338225,True,train
train_0013,record_0013.npz,-1.7900312398397236,600,SMNH11,2000/11/03 16:33:00,2000/11/03 16:34:04,4.5,35.36,133.29,10,35.4259,132.8008,30.0,44.945,46.044,100,200,12000,120.0,11.594534,3.719091,3.218651,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\SMNH110011031633.npz,8.87,887.0,9.21,0,671.0,6.2803,0.9261,0.8362733749214112,0.1637263367318537,2.883467349462684e-07,0.8362733749214112,False,train
train_0014,record_0014.npz,-1.0080098464665943,600,TTRH01,2001/01/12 08:00:00,2001/01/12 08:00:11,5.4,35.466,134.489,10,35.2604,134.2173,230.0,33.61,35.066,100,200,12000,120.0,13.486385,3.750801,3.917217,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\TTRH010101120800.npz,14.5,1450.0,9.69,1,426.0,3.9252,0.6689,0.0342469636801767,0.9410593368854796,0.0246936994343437,0.9410593368854796,False,train
train_0015,record_0015.npz,-2.0453777937194886,600,ABSH06,2009/01/11 21:53:00,2009/01/11 21:53:52,4.5,42.892,143.127,88,44.2146,143.6202,7.0,152.342,175.932,100,100,12000,120.0,14.416994,79.647643,13.059318,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\ABSH060901112153.npz,24.61,2461.0,10.48,2,251.0,0.46646,1.4281,0.0061023018884347,0.0948788723961756,0.8990188257153895,0.8990188257153895,False,train
train_0016,record_0016.npz,-1.252516382219873,600,KMMH13,2005/06/03 04:16:00,2005/06/03 04:16:51,4.8,32.495,130.547,11,32.2209,130.9096,175.0,45.705,47.01,100,200,12000,120.0,22.902012,7.107496,4.909992,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\KMMH130506030416.npz,14.63,1463.0,11.79,1,403.0,0.38574,1.2463,0.0491322026050306,0.7841391210554811,0.1667286763394882,0.7841391210554811,False,train
train_0017,record_0017.npz,-1.7078646624955158,600,TCGH16,2003/08/18 18:59:00,2003/08/18 18:59:58,4.6,35.803,140.109,69,36.548,140.0751,105.0,82.896,107.855,100,200,12000,120.0,3.670931,4.244328,3.473043,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\TCGH160308181859.npz,12.96,1296.0,23.68,1,213.0,4.5604,1.3333,0.1897227011124808,0.6908278615902462,0.119449437297273,0.6908278615902462,True,train
train_0018,record_0018.npz,-1.3519992165037966,600,AICH21,2003/03/13 21:04:00,2003/03/13 21:05:33,4.1,35.518,135.974,14,34.7401,136.9385,20.0,123.188,123.981,100,200,12000,120.0,10.732651,3.041983,3.245115,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\AICH210303132104.npz,14.42,1442.0,8.69,1,355.0,2.3807,1.0029,0.0206767704983146,0.790852910365902,0.1884703191357834,0.790852910365902,False,train
train_0019,record_0019.npz,-2.2097863277275094,600,IBRH20,2007/01/10 19:19:00,2007/01/10 19:19:40,4.3,36.553,141.238,46,35.8284,140.7323,5.7,92.473,103.282,100,200,6000,60.0,14.992476,57.468891,28.381109,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\IBRH200701101919.npz,4.25,425.0,10.02,2,244.0,0.24351,1.4425,0.005966756676554,0.0894288578119667,0.9046043855114791,0.9046043855114791,False,train
train_0020,record_0020.npz,-0.6067698414046775,600,KSRH06,2003/10/11 09:09:00,2003/10/11 09:09:14,6.1,41.863,144.439,28,43.22,144.4285,30.0,150.894,153.47,100,200,26900,269.0,4.12941,3.617764,3.512859,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\KSRH060310110909.npz,12.8,1280.0,12.12,1,326.0,6.8716,1.3633,0.3718691624495948,0.6278438533512983,0.0002869841991068,0.6278438533512983,True,train
train_0021,record_0021.npz,-1.9732238829348057,600,TCGH12,2002/03/17 03:01:00,2002/03/17 03:01:50,4.1,36.101,139.875,49,36.6959,139.9842,162.0,66.868,82.9,100,200,12000,120.0,6.603003,4.894018,5.693913,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\TCGH120203170301.npz,14.01,1401.0,42.72,1,344.0,6.6685,1.1314,0.1543292021742923,0.8455574202701354,0.0001133775555722,0.8455574202701354,False,train
train_0022,record_0022.npz,-1.8182623270090976,600,SMNH04,2010/07/23 14:25:00,2010/07/23 14:26:38,4.4,33.387,133.108,34,35.0918,132.5308,240.0,196.849,199.764,100,100,12000,120.0,14.907407,11.235836,4.358347,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\SMNH041007231425.npz,16.48,1648.0,10.13,1,277.0,3.7338,1.0158,0.0381180503569925,0.8611583941293184,0.1007235555136891,0.8611583941293184,False,train
train_0023,record_0023.npz,-0.9500833998009444,600,NIGH03,2003/07/26 00:13:00,2003/07/26 00:13:38,5.5,38.433,141.164,12,38.1327,139.4289,6.0,155.081,155.545,100,200,12000,120.0,9.739161,3.63946,3.119707,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\NIGH030307260013.npz,11.55,1155.0,21.65,2,251.0,3.1817,1.4257,0.0275966329746318,0.1867626947891226,0.7856406722362452,0.7856406722362452,False,train
train_0024,record_0024.npz,-1.2356079067857766,600,ISKH06,2008/01/26 04:33:00,2008/01/26 04:33:30,4.8,37.318,136.773,11,37.0533,136.8206,20.0,29.734,31.703,100,100,7900,79.0,21.527345,44.497359,102.905503,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\ISKH060801260433.npz,15.96,1596.0,8.72,1,500.0,0.62339,1.2489,0.222826789659734,0.7555942100122774,0.0215790003279886,0.7555942100122774,False,train
train_0025,record_0025.npz,-1.302497997933232,600,GIFH20,2011/02/27 02:19:00,2011/02/27 02:19:04,5.0,36.157,137.457,4,35.7991,137.2531,355.0,43.822,44.004,100,100,12000,120.0,32.578785,40.635026,156.717061,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\GIFH201102270219.npz,17.9,1790.0,9.53,0,810.0,12.903,0.8957,0.9996615623074218,0.0003384376925784,9.57966445898524e-24,0.9996615623074218,False,train
train_0026,record_0026.npz,-2.3439536662058447,600,KKWH13,2008/07/13 03:17:00,2008/07/13 03:17:50,4.1,42.485,143.277,51,43.5113,142.3906,315.0,134.978,144.292,100,100,12000,120.0,17.692342,47.568262,55.98144,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\KKWH130807130317.npz,6.86,686.0,8.62,1,356.0,5.7974,0.9882,0.0703915468939703,0.9287442947700988,0.0008641583359307,0.9287442947700988,False,train
train_0027,record_0027.npz,-2.477867523819475,600,OITH08,2001/09/06 01:29:00,2001/09/06 01:29:51,4.3,33.111,132.023,50,32.8392,131.5357,260.0,54.587,74.025,100,200,12000,120.0,15.461445,18.052101,7.923126,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\OITH080109060129.npz,6.58,658.0,10.93,0,657.0,15.445,0.5689,0.9932401503260532,0.0067598496739469,1.1180925224236116e-29,0.9932401503260532,False,train
train_0028,record_0028.npz,-2.201307368925616,600,IWTH11,2001/11/13 16:45:00,2001/11/13 16:45:25,4.7,39.336,142.068,48,40.0811,141.1915,629.0,111.74,121.613,100,200,12000,120.0,21.87252,5.160093,3.401995,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\IWTH110111131645.npz,13.72,1372.0,9.13,1,343.0,1.4154,0.8125,0.0142789513001138,0.7381984553078959,0.2475225933919904,0.7381984553078959,False,train
train_0029,record_0029.npz,-0.8662742153724964,600,KSRH03,2003/12/03 23:11:00,2003/12/03 23:11:35,5.6,42.393,144.814,35,43.3848,144.6279,83.0,111.32,116.693,100,200,25000,250.0,13.694763,7.632256,4.721642,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\KSRH030312032311.npz,13.23,1323.0,8.49,2,250.0,3.0265,1.2601,0.0326049799751589,0.4531710422514156,0.5142239777734255,0.5142239777734255,True,train
train_0030,record_0030.npz,-1.6260896210538436,600,NGNH27,2008/08/08 12:57:00,2008/08/08 12:58:00,4.6,35.63,139.537,30,36.577,138.0479,505.0,170.248,172.871,100,100,12000,120.0,19.027637,15.540341,4.250187,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\NGNH270808081257.npz,15.6,1560.0,9.84,1,381.0,6.4072,0.7527,0.067032289043304,0.9328548131640249,0.000112897792671,0.9328548131640249,False,train
train_0031,record_0031.npz,-2.1234156864159903,600,SRCH07,2008/09/02 17:17:00,2008/09/02 17:17:17,4.2,42.812,142.785,84,43.23,141.8978,75.0,85.803,120.076,100,100,12000,120.0,20.916234,9.563397,79.18117,0.000635249783618,0.0004764783388733,0.0004764783388733,F:\paper4_data\kiknet_npz\SRCH070809021717.npz,16.81,1681.0,24.82,1,316.0,3.6598,0.8692,0.0274622274182916,0.8951701654739824,0.0773676071077257,0.8951701654739824,False,train
train_0032,record_0032.npz,0.388230145249736,600,OKYH10,2000/10/06 13:30:00,2000/10/06 13:30:28,7.3,35.278,133.345,11,35.2826,133.9263,495.0,52.768,53.902,100,200,21900,219.0,102.234364,24.410486,19.914627,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\OKYH100010061330.npz,4.78,478.0,8.01,1,554.0,6.6685,0.8567,0.2511724230994376,0.7488221067361989,5.470164363700487e-06,0.7488221067361989,False,train
train_0033,record_0033.npz,-1.2223067793214648,600,HRSH07,2007/04/26 09:03:00,2007/04/26 09:03:14,5.3,33.888,133.583,39,34.2883,132.6411,230.0,97.492,105.003,100,200,12000,120.0,15.113592,6.431341,6.443501,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\HRSH070704260903.npz,13.86,1386.0,12.68,1,461.0,2.2421,0.9994,0.0545465855206379,0.9064057317475198,0.0390476827318422,0.9064057317475198,False,train
train_0034,record_0034.npz,-1.1254855729598623,600,MYGH08,2003/11/15 03:44:00,2003/11/15 03:44:22,5.8,36.431,141.165,48,38.1133,140.8441,10.0,189.206,195.2,100,200,16500,165.0,4.985332,3.685951,4.972219,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\MYGH080311150344.npz,12.85,1285.0,8.79,2,203.0,0.68895,0.981,0.0143473986748142,0.4481074607303082,0.5375451405948773,0.5375451405948773,True,train
train_0035,record_0035.npz,-2.164496506564933,600,IBRH20,2007/06/04 13:34:00,2007/06/04 13:34:22,4.4,36.09,139.863,48,35.8284,140.7323,5.7,83.473,96.29,100,200,6000,60.0,7.165909,46.311378,28.889418,0.0002384185791015,0.0002384185791015,0.0002384185791015,F:\paper4_data\kiknet_npz\IBRH200706041334.npz,2.83,283.0,17.63,2,244.0,0.24351,1.4425,0.005966756676554,0.0894288578119667,0.9046043855114791,0.9046043855114791,False,train
