record_id,waveform_file,station_code,origin_time,record_time,mag,split
train_000000,record_000000.npz,ABSH02,2009/5/10 16:52,2009/5/10 16:53,4.3,train
train_000001,record_000001.npz,ABSH02,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000002,record_000002.npz,ABSH03,2007/1/9 5:12,2007/1/9 5:12,4.7,train
train_000003,record_000003.npz,ABSH03,2009/5/10 16:52,2009/5/10 16:53,4.3,train
train_000004,record_000004.npz,ABSH03,2009/9/29 21:03,2009/9/29 21:03,4.5,train
train_000005,record_000005.npz,ABSH03,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000006,record_000006.npz,ABSH03,2009/12/28 9:13,2009/12/28 9:13,5,train
train_000007,record_000007.npz,ABSH05,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000008,record_000008.npz,ABSH05,2009/12/28 9:13,2009/12/28 9:13,5,train
train_000009,record_000009.npz,ABSH06,2003/10/18 18:32,2003/10/18 18:32,4.5,train
train_000010,record_000010.npz,ABSH06,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000011,record_000011.npz,ABSH06,2004/12/14 14:56,2004/12/14 14:56,6.1,train
train_000012,record_000012.npz,ABSH06,2007/1/9 5:12,2007/1/9 5:12,4.7,train
train_000013,record_000013.npz,ABSH06,2007/7/1 13:12,2007/7/1 13:12,5.8,train
train_000014,record_000014.npz,ABSH06,2008/3/3 17:06,2008/3/3 17:07,4.3,train
train_000015,record_000015.npz,ABSH06,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000016,record_000016.npz,ABSH06,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000017,record_000017.npz,ABSH06,2009/5/10 16:52,2009/5/10 16:52,4.3,train
train_000018,record_000018.npz,ABSH06,2009/9/29 21:03,2009/9/29 21:03,4.5,train
train_000019,record_000019.npz,ABSH06,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000020,record_000020.npz,ABSH06,2009/12/28 9:13,2009/12/28 9:13,5,train
train_000021,record_000021.npz,ABSH06,2010/4/9 3:41,2010/4/9 3:42,4.8,train
train_000022,record_000022.npz,ABSH07,2007/12/10 16:23,2007/12/10 16:24,4.2,train
train_000023,record_000023.npz,ABSH07,2008/1/23 4:34,2008/1/23 4:35,4.9,train
train_000024,record_000024.npz,ABSH07,2008/8/29 23:41,2008/8/29 23:41,4.1,train
train_000025,record_000025.npz,ABSH07,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000026,record_000026.npz,ABSH07,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000027,record_000027.npz,ABSH07,2009/2/28 9:36,2009/2/28 9:36,5.3,train
train_000028,record_000028.npz,ABSH07,2009/3/20 15:52,2009/3/20 15:52,5,train
train_000029,record_000029.npz,ABSH07,2009/4/5 17:00,2009/4/5 17:00,4.8,train
train_000030,record_000030.npz,ABSH07,2009/5/10 16:52,2009/5/10 16:53,4.3,train
train_000031,record_000031.npz,ABSH07,2009/9/29 21:03,2009/9/29 21:03,4.5,train
train_000032,record_000032.npz,ABSH07,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000033,record_000033.npz,ABSH07,2009/12/28 9:13,2009/12/28 9:13,5,train
train_000034,record_000034.npz,ABSH07,2010/1/15 3:46,2010/1/15 3:46,5,train
train_000035,record_000035.npz,ABSH07,2010/4/9 3:41,2010/4/9 3:42,4.8,train
train_000036,record_000036.npz,ABSH07,2010/7/8 21:23,2010/7/8 21:23,4.7,train
train_000037,record_000037.npz,ABSH07,2010/8/14 13:25,2010/8/14 13:25,4.6,train
train_000038,record_000038.npz,ABSH07,2010/10/14 22:59,2010/10/14 22:59,5.5,train
train_000039,record_000039.npz,ABSH07,2011/1/22 14:49,2011/1/22 14:49,4.4,train
train_000040,record_000040.npz,ABSH08,2001/4/27 2:49,2001/4/27 2:49,5.9,train
train_000041,record_000041.npz,ABSH08,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000042,record_000042.npz,ABSH08,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000043,record_000043.npz,ABSH08,2008/3/13 17:41,2008/3/13 17:41,5.3,train
train_000044,record_000044.npz,ABSH08,2008/5/11 3:24,2008/5/11 3:24,5.1,train
train_000045,record_000045.npz,ABSH08,2008/9/12 7:34,2008/9/12 7:35,5.2,train
train_000046,record_000046.npz,ABSH08,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000047,record_000047.npz,ABSH08,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000048,record_000048.npz,ABSH08,2009/5/10 16:52,2009/5/10 16:52,4.3,train
train_000049,record_000049.npz,ABSH08,2009/7/28 4:16,2009/7/28 4:16,4.7,train
train_000050,record_000050.npz,ABSH08,2009/9/29 21:03,2009/9/29 21:03,4.5,train
train_000051,record_000051.npz,ABSH08,2009/12/28 9:13,2009/12/28 9:13,5,train
train_000052,record_000052.npz,ABSH08,2010/1/16 0:45,2010/1/16 0:45,5.1,train
train_000053,record_000053.npz,ABSH08,2010/6/5 14:22,2010/6/5 14:22,5.5,train
train_000054,record_000054.npz,ABSH08,2010/8/7 14:31,2010/8/7 14:31,4.6,train
train_000055,record_000055.npz,ABSH08,2010/9/4 6:15,2010/9/4 6:15,5.1,train
train_000056,record_000056.npz,ABSH08,2010/11/19 13:02,2010/11/19 13:02,4.8,train
train_000057,record_000057.npz,ABSH09,2001/4/27 2:49,2001/4/27 2:49,5.9,train
train_000058,record_000058.npz,ABSH09,2001/7/5 22:12,2001/7/5 22:12,4.9,train
train_000059,record_000059.npz,ABSH09,2002/8/5 6:07,2002/8/5 6:07,4.5,train
train_000060,record_000060.npz,ABSH09,2002/8/25 3:41,2002/8/25 3:41,5.8,train
train_000061,record_000061.npz,ABSH09,2002/12/1 18:57,2002/12/1 18:57,5.4,train
train_000062,record_000062.npz,ABSH09,2004/11/4 23:03,2004/11/4 23:03,5.8,train
train_000063,record_000063.npz,ABSH09,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000064,record_000064.npz,ABSH09,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000065,record_000065.npz,ABSH09,2005/1/18 23:09,2005/1/18 23:09,6.4,train
