epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
1,0.705313,0.325936,0.448108,0.380287,0.305586,0.285287,0.272082,0.288872,0.301326
2,0.491225,0.296884,0.418274,0.344034,0.277692,0.263592,0.253076,0.258209,0.263311
3,0.462611,0.332018,0.427250,0.375398,0.325058,0.306317,0.295093,0.297848,0.297161
4,0.442443,0.293899,0.464470,0.358793,0.265155,0.244193,0.232453,0.240737,0.251493
5,0.423515,0.295319,0.426944,0.360371,0.274737,0.255754,0.251885,0.245463,0.252082
6,0.446873,0.274138,0.403597,0.324186,0.262264,0.239472,0.228229,0.228491,0.232729
7,0.410020,0.259294,0.387137,0.311980,0.242593,0.226632,0.213870,0.215396,0.217454
8,0.384116,0.405385,0.412149,0.408655,0.404628,0.402480,0.401146,0.405982,0.402654
9,0.372779,0.243482,0.365953,0.293593,0.225192,0.214558,0.201615,0.199599,0.203864
10,0.340299,0.220733,0.333734,0.267362,0.203170,0.194212,0.182018,0.181089,0.183545
11,0.334998,0.244014,0.392745,0.307841,0.224866,0.204744,0.190057,0.189435,0.198412
12,0.317229,0.227702,0.333214,0.270667,0.211452,0.200232,0.192350,0.191707,0.194291
13,0.306653,0.216917,0.320280,0.258854,0.201580,0.192483,0.179224,0.180791,0.185208
14,0.306772,0.203582,0.310970,0.249705,0.193756,0.178437,0.165147,0.162446,0.164612
15,0.289356,0.236241,0.350940,0.286174,0.220898,0.205027,0.195799,0.193301,0.201550
16,0.289817,0.216664,0.340979,0.262297,0.202757,0.184754,0.174252,0.173238,0.178372
17,0.285890,0.204437,0.333221,0.247195,0.184738,0.176597,0.162516,0.161321,0.165472
18,0.278960,0.201664,0.333020,0.261999,0.188447,0.168622,0.155833,0.150873,0.152852
19,0.278747,0.248778,0.330833,0.288297,0.241671,0.231296,0.222120,0.212232,0.214997
20,0.280201,0.201319,0.322510,0.247946,0.183739,0.174191,0.161635,0.158106,0.161108
21,0.275025,0.200353,0.312977,0.250016,0.191949,0.174783,0.161668,0.156193,0.154886
22,0.266083,0.224741,0.393583,0.296820,0.206732,0.184986,0.168662,0.162531,0.159874
23,0.258864,0.183744,0.307822,0.232909,0.171499,0.155510,0.141744,0.139544,0.137181
24,0.254037,0.198444,0.301018,0.239406,0.183991,0.174298,0.163571,0.162150,0.164674
25,0.257423,0.198389,0.320489,0.247651,0.184636,0.168063,0.157597,0.154895,0.155392
26,0.258267,0.199869,0.304697,0.249622,0.187474,0.176691,0.165319,0.157853,0.157427
27,0.254705,0.204445,0.328087,0.244985,0.183518,0.174340,0.167453,0.165091,0.167642
28,0.247587,0.187421,0.300752,0.232061,0.177691,0.164371,0.149786,0.144773,0.142513
29,0.248487,0.197034,0.309396,0.243287,0.185005,0.168923,0.156162,0.157037,0.159426
30,0.240063,0.187953,0.289393,0.234618,0.179021,0.164294,0.152647,0.148589,0.147109
31,0.237817,0.184082,0.303704,0.239568,0.171346,0.155874,0.143694,0.137799,0.136592
32,0.247059,0.198945,0.294669,0.235442,0.193560,0.177893,0.165319,0.164121,0.161607
33,0.234335,0.183311,0.306562,0.230760,0.171142,0.156640,0.142663,0.138732,0.136677
34,0.236474,0.184568,0.306384,0.234910,0.174610,0.157763,0.144369,0.138729,0.135208
35,0.232128,0.175443,0.296957,0.225016,0.167498,0.147153,0.133691,0.130273,0.127510
36,0.229096,0.184096,0.301991,0.229923,0.176702,0.160415,0.144801,0.138998,0.135840
37,0.228885,0.188308,0.326424,0.240835,0.175722,0.155285,0.142925,0.139206,0.137762
38,0.230183,0.181997,0.288632,0.229039,0.174720,0.158305,0.145939,0.138943,0.138400
39,0.224828,0.179947,0.290585,0.224795,0.169451,0.153607,0.143804,0.140088,0.137301
40,0.233011,0.177013,0.293994,0.226751,0.170311,0.150687,0.137565,0.131071,0.128709
41,0.221570,0.172471,0.283977,0.216012,0.162879,0.148651,0.136329,0.130827,0.128620
42,0.229595,0.173383,0.283676,0.222407,0.167950,0.147993,0.133972,0.129523,0.128160
43,0.226489,0.173478,0.291224,0.225444,0.166001,0.146164,0.132214,0.128414,0.124885
