window_sec,n,R2,correlation,MAE,RMSE,bias
0.5,1280,0.3082091808319092,0.5563944221859619,0.4652227,0.6066258,-0.0039286255
1.0,1280,0.4989122152328491,0.7079621548523553,0.38419586,0.5162861,-0.013501696
1.5,1280,0.5721860826015472,0.7577738686925315,0.35340297,0.47704673,-0.030608129
2.0,1280,0.6081824004650116,0.7811339336636625,0.33751458,0.45653644,-0.030864585
2.5,1280,0.6419714987277985,0.8019995877748917,0.32277742,0.4364076,-0.024113882
3.0,1280,0.6551234424114227,0.8099868984547973,0.31818223,0.428317,-0.022345444
3.5,1280,0.6724788546562195,0.8207693523464562,0.30837646,0.4174007,-0.024781356
4.0,1280,0.6889944970607758,0.8306258805137172,0.30261028,0.40674058,-0.020987108
4.5,1280,0.700514554977417,0.8375862774486498,0.29717067,0.3991364,-0.018769965
5.0,1280,0.7159121930599213,0.8470359231865877,0.29149908,0.38874048,-0.02026189
5.5,1280,0.724918395280838,0.8522112969758201,0.28847072,0.3825289,-0.016573539
6.0,1280,0.7248498201370239,0.8519902392130275,0.28865218,0.38257658,-0.0134288445
